code,description,status,superseded_by
85167200,Toasters,current,
63063000,Sails,current,
48204000,Manifold business forms and interleaved carbon sets,current,
84806000,Moulds for mineral materials,current,
29181300,Salts and esters of tartaric acid,current,
85269200,Radio remote control apparatus,current,
48195000,"Other packing containers, including record sleeves",current,
59041000,Linoleum,current,
30044100,Containing ephedrine or its salts,current,
49119900,Other,current,
44199000,Other,current,
91081100,With mechanical display only or with a device to which a mechanical display can be incorporated,current,
54033100,"Of viscose rayon, untwisted or with a twist not exceeding 120 turns per metre",current,
29319000,Other,current,
85258300,"Other, night vision goods as specified in subheading note 3 to this chapter",current,
96159000,Other,current,
02064900,Other,current,
81082000,Unwrought titanium; powders,current,
48202000,Exercise books,current,
86071200,Other bogies and bissel-bogies,current,
37071000,Sensitising emulsions,current,
55122100,Unbleached or bleached,current,
29391900,Other,current,
32091000,Based on acrylic or vinyl polymers,current,
56050000,"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading 5404 or 5405, combined with metal in the form of thread, strip or powder or covered with metal",current,
38254100,Halogenated,current,
84295900,Other,current,
76110000,"Aluminium reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 litres, whether or not lined or heat-insulated, but not fitted with mechanical or thermal equipment",current,
69101000,Of porcelain or china,current,
52115900,Other fabrics,current,
18063100,Filled,current,
61072200,Of man-made fibres,current,
44061100,Coniferous,current,
73051200,"Other, longitudinally welded",current,
29151100,Formic acid,current,
56072100,Binder or baler twine,current,
40169200,Erasers,current,
32041700,Pigments and preparations based thereon,current,
52105100,Plain weave,current,
95082100,Roller coasters,current,
84682000,Other gas-operated machinery and apparatus,current,
53091900,Other,current,
34024900,Other,current,
29043300,Lithium perfluorooctane sulphonate,current,
29333600,4-Anilino-N-phenethylpiperidine (ANPP),current,
28201000,Manganese dioxide,current,
29414000,Chloramphenicol and its derivatives; salts thereof,current,
84513000,Ironing machines and presses (including fusing presses),current,
63062900,Of other textile materials,current,
84462900,Other,current,
07094000,Celery other than celeriac,current,
84463000,"For weaving fabrics of a width exceeding 30 cm, shuttleless type",current,
44092200,Of tropical wood,current,
84336000,"Machines for cleaning, sorting or grading eggs, fruit or other agricultural produce",current,
85013400,Of an output exceeding 375 kW,current,
85415900,Other,current,
29161200,Esters of acrylic acid,current,
91111000,Cases of precious metal or of metal clad with precious metal,current,
55052000,Of artificial fibres,current,
29362900,Other vitamins and their derivatives,current,
38221200,For Zika and other diseases transmitted by mosquitoes of the genus Aedes,current,
29181100,"Lactic acid, its salts and esters",current,
60011000,Long pile fabrics,current,
29153200,Vinyl acetate,current,
76051900,Other,current,
84451200,Combing machines,current,
84303900,Other,current,
80030000,"Tin bars, rods, profiles and wire",current,
32050000,Colour lakes; preparations as specified in note 3 to this chapter based on colour lakes,current,
41139000,Other,current,
36061000,Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300 cm3,current,
74071000,Of refined copper,current,
71179000,Other,current,
29329300,Piperonal,current,
29339200,Azinphos-methyl (ISO),current,
58063100,Of cotton,current,
60063200,Dyed,current,
92089000,Other,current,
55169100,Unbleached or bleached,current,
38251000,Municipal waste,current,
84669400,For machines of heading 8462 or 8463,current,
02063000,"Of swine, fresh or chilled",current,
60064200,Dyed,current,
55112000,"Of synthetic staple fibres, containing less than 85 % by weight of such fibres",current,
08045000,"Guavas, mangoes and mangosteens",current,
06031400,Chrysanthemums,current,
30034300,Containing norephedrine or its salts,current,
55062000,Of polyesters,current,
55161300,Of yarns of different colours,current,
39205100,Of poly(methyl methacrylate),current,
54082400,Printed,current,
70032000,Wired sheets,current,
81033000,Waste and scrap,current,
40149000,Other,current,
54081000,Woven fabrics obtained from high-tenacity yarn of viscose rayon,current,
52042000,Put up for retail sale,current,
93012000,Rocket launchers; flame-throwers; grenade launchers; torpedo tubes and similar projectors,current,
29041000,"Derivatives containing only sulpho groups, their salts and ethyl esters",current,
93040000,"Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading 9307",current,
38021000,Activated carbon,current,
95082500,Water rides,current,
84384000,Brewery machinery,current,
95065100,"Lawn-tennis rackets, whether or not strung",current,
39239000,Other,current,
03071200,Frozen,current,
62111100,Men's or boys',current,
61046200,Of cotton,current,
84253900,Other,current,
84772000,Extruders,current,
23040000,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",current,
29221100,Monoethanolamine and its salts,current,
84158100,Incorporating a refrigerating unit and a valve for reversal of the cooling/heat cycle (reversible heat pumps),current,
36010000,Propellent powders,current,
94015900,Other,current,
25172000,"Macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in subheading 251710",current,
84515000,"Machines for reeling, unreeling, folding, cutting or pinking textile fabrics",current,
82042000,"Interchangeable spanner sockets, with or without handles",current,
47062000,Pulps of fibres derived from recovered (waste and scrap) paper or paperboard,current,
68152000,Articles of peat,current,
90148000,Other instruments and appliances,current,
84118100,Of a power not exceeding 5000 kW,current,
94021000,"Dentists', barbers' or similar chairs and parts thereof",current,
10021000,Seed,current,
29036100,Methyl bromide (bromomethane),current,
